merchant_name,total_sold_sum,n_product,merchant_price_min,merchant_price_max,merchant_price_avg,avg_revenue,market_share
mekar_shop25,1,1,314000,314000,314000.0,314000.0,0.0
Ambrenstore,2,1,53900,53900,53900.0,107800.0,0.0
Aneka Market Store,1,1,105000,105000,105000.0,105000.0,0.0
Apple Bank BSD,2,2,210000,410000,310000.0,620000.0,0.0
Aandzee,1,1,58000,58000,58000.0,58000.0,0.0
AZM_official,1,1,490000,490000,490000.0,490000.0,0.0
satali_cell,1,1,189000,189000,189000.0,189000.0,0.0
AKM STORE 96,1,1,72653,72653,72653.0,72653.0,0.0
wearlocca,13,2,67500,84500,76000.0,988000.0,0.0
wawats,2,1,73000,73000,73000.0,146000.0,0.0
@toko-utama,7,1,69500,69500,69500.0,486500.0,0.0
AG Aksesoris Handphone,3,2,70600,75700,73150.0,219450.0,0.0
AK97,17,3,50000,72000,57666.66666666666,980333.3333333333,0.0
AKA Hardware,2,1,55400,55400,55400.0,110800.0,0.0
tokopastioriginal,1,1,247500,247500,247500.0,247500.0,0.0
tok0store,2,1,179400,179400,179400.0,358800.0,0.0
serbu murah17,5,1,54800,54800,54800.0,274000.0,0.0
AKSESORIS SUNTER,3,1,80000,80000,80000.0,240000.0,0.0
ALMEITY,8,1,109000,109000,109000.0,872000.0,0.0
specialten,1,1,109999,109999,109999.0,109999.0,0.0
ANOM Otomotif,1,1,156450,156450,156450.0,156450.0,0.0
siskapatnershop,2,2,176400,179820,178110.0,356220.0,0.0
shinjaya,6,1,110000,110000,110000.0,660000.0,0.0
ARMYAPPLE,1,1,60000,60000,60000.0,60000.0,0.0
Arcell Official,5,1,60550,60550,60550.0,302750.0,0.0
kiyoshi888,3,1,252000,252000,252000.0,756000.0,0.0
bima sakti online store,7,1,135000,135000,135000.0,945000.0,0.0
kazil07,1,1,426000,426000,426000.0,426000.0,0.0
Belvyn Computer,4,2,51000,93000,72000.0,288000.0,0.0
gemilang craft,1,1,50000,50000,50000.0,50000.0,0.0
fafagifty,1,1,138000,138000,138000.0,138000.0,0.0
erafone,5,2,199000,209000,204000.0,1020000.0,0.0
ellen olshop,7,4,50000,104000,71250.0,498750.0,0.0
electronik store 28,4,1,89900,89900,89900.0,359600.0,0.0
e-virus,1,1,349000,349000,349000.0,349000.0,0.0
devitshop,1,1,58000,58000,58000.0,58000.0,0.0
demibumi.id,1,1,375000,375000,375000.0,375000.0,0.0
delimacom,7,2,95000,105000,100000.0,700000.0,0.0
BestbrandstoreID,1,1,65000,65000,65000.0,65000.0,0.0
Beste Official Store,2,1,270000,270000,270000.0,540000.0,0.0
cipta electronic,14,4,69900,69900,69900.0,978600.0,0.0
case center,2,1,189000,189000,189000.0,378000.0,0.0
callistadistribution,7,2,70500,76500,73500.0,514500.0,0.0
blinkaesthetic,2,2,84500,130000,107250.0,214500.0,0.0
BintangTimurSelindo,2,1,269000,269000,269000.0,538000.0,0.0
gloryneed,2,1,84000,84000,84000.0,168000.0,0.0
Belanjaa Yuk,9,2,74214,106050,90132.0,811188.0,0.0
gudang_id official,1,1,98000,98000,98000.0,98000.0,0.0
Avantages,1,1,89900,89900,89900.0,89900.0,0.0
Arvotech,6,1,61600,61600,61600.0,369600.0,0.0
jjek,1,1,180000,180000,180000.0,180000.0,0.0
jinan colection,2,1,90000,90000,90000.0,180000.0,0.0
jcy2shop,1,1,275000,275000,275000.0,275000.0,0.0
Ask Computer,2,1,150000,150000,150000.0,300000.0,0.0
Autonet Official Store,1,1,51600,51600,51600.0,51600.0,0.0
inStyle eStore,2,1,188000,188000,188000.0,376000.0,0.0
Ayook Belanja,2,1,50000,50000,50000.0,100000.0,0.0
BaserbaJKT,1,1,65000,65000,65000.0,65000.0,0.0
iSmile Official Store,4,1,149000,149000,149000.0,596000.0,0.0
BAGTASTIC!,9,1,64000,64000,64000.0,576000.0,0.0
BERDINE1,2,1,59800,59800,59800.0,119600.0,0.0
BOKIR STORE 69,1,1,52503,52503,52503.0,52503.0,0.0
Baadalian545,1,1,191000,191000,191000.0,191000.0,0.0
hello cell,1,1,75000,75000,75000.0,75000.0,0.0
har11shop,1,1,197900,197900,197900.0,197900.0,0.0
DominicPRO,1,1,111500,111500,111500.0,111500.0,0.0
TOKO OLIO,3,1,72300,72300,72300.0,216900.0,0.0
Tobo Shop,2,1,56900,56900,56900.0,113800.0,0.0
PANACHE,3,1,109000,109000,109000.0,327000.0,0.0
Icon Laptop,5,1,99000,99000,99000.0,495000.0,0.0
Importnesia Official,1,1,190000,190000,190000.0,190000.0,0.0
Indhe,1,1,350000,350000,350000.0,350000.0,0.0
Indi_Com,2,2,58500,78500,68500.0,137000.0,0.0
Onestop Gaming,3,1,134999,134999,134999.0,404997.0,0.0
JABODETABEK ONLINE STORE,1,1,68200,68200,68200.0,68200.0,0.0
Okuro Store,1,1,170000,170000,170000.0,170000.0,0.0
Okebuy Outdoor,3,1,329000,329000,329000.0,987000.0,0.0
OkMall,13,2,65000,99000,82000.0,1066000.0,0.0
JIPD MALL,4,1,65000,65000,65000.0,260000.0,0.0
JS Notebook,3,1,99000,99000,99000.0,297000.0,0.0
Jaka Seun,2,1,56250,56250,56250.0,112500.0,0.0
Jakarta Cover MacBook ID,1,1,332000,332000,332000.0,332000.0,0.0
Jakarta MacBook Style,3,2,188001,294001,241001.0,723003.0,0.0
Nusantara Accessories Phone,1,1,149200,149200,149200.0,149200.0,0.0
Nusa Raya Indonesia,5,1,53500,53500,53500.0,267500.0,0.0
Notebookstore-1,2,1,85000,85000,85000.0,170000.0,0.0
Orire,2,1,56000,56000,56000.0,112000.0,0.0
PLATINUM CAR PARTS,6,3,129000,168000,149000.0,894000.0,0.0
JaneFashion88,8,1,65960,65960,65960.0,527680.0,0.0
PUNCHST0RE,2,1,90000,90000,90000.0,180000.0,0.0
Hie Hop,5,1,109000,109000,109000.0,545000.0,0.0
Pusakaid Jkt,2,1,60800,60800,60800.0,121600.0,0.0
Puff Your Life,3,1,169000,169000,169000.0,507000.0,0.0
Himwebstore Official,3,1,210000,210000,210000.0,630000.0,0.0
Hk Shoping online,1,1,89000,89000,89000.0,89000.0,0.0
Primary Original,2,1,421800,421800,421800.0,843600.0,0.0
Hobiechie-ID,5,1,74900,74900,74900.0,374500.0,0.0
Hody Official Store,1,1,139000,139000,139000.0,139000.0,0.0
HolyHoly,4,2,50000,50000,50000.0,200000.0,0.0
HomeAccesories,7,1,55500,55500,55500.0,388500.0,0.0
Pilgoods,6,1,57900,57900,57900.0,347400.0,0.0
Pepperbox,6,5,142000,184000,154200.0,925200.0,0.0
Pelangi gadget shop,2,1,189000,189000,189000.0,378000.0,0.0
Icaseshop,6,1,115000,115000,115000.0,690000.0,0.0
Pasar Gadget 77,1,1,62500,62500,62500.0,62500.0,0.0
Panah Center Shop,1,1,133700,133700,133700.0,133700.0,0.0
